"key","variant","english","hindi","notes"
"warn.heat_hydration","0","It will be {temperature_c} degrees. Drink water and take your breaks.","{temperature_c} डिग्री तक गर्मी होगी। पानी पीते रहें और आराम ज़रूर करें।",""
"belt_before_move","0","Belt before you move! Fasten your seatbelt.","चलने से पहले बेल्ट! सीट बेल्ट बाँध लीजिए।",""
"seatbelt_unfastened","0","Your seatbelt is off. Please fasten it.","आपकी सीट बेल्ट खुली है। कृपया बाँध लीजिए।",""
"proximity_alert","0","Stop! Someone is {distance_m} metres from the machine.","रुकिए! मशीन से {distance_m} मीटर पर कोई है।",""
"safety_alert","0","Safety alert. Check all around the machine.","सुरक्षा चेतावनी। मशीन के चारों ओर देख लीजिए।",""
"incident_logged","0","Logged: {category}. Thank you, the next shift will know.","दर्ज कर लिया: {category}। धन्यवाद, अगली शिफ्ट को पता रहेगा।",""
"incident_logged","1","Noted: {category}. I will tell the next shift.","नोट कर लिया: {category}। अगली शिफ्ट को बता दूँगा।",""
"incident_logged","2","Thanks for reporting {category}. It is saved for this machine.","{category} बताने के लिए धन्यवाद। यह इस मशीन के लिए सहेज लिया गया है।",""
"break_time","0","Time for a break. Drink some water.","आराम का समय। थोड़ा पानी पी लीजिए।",""
"break_time","1","Break time. Step down, stretch and have some water.","आराम का समय। नीचे उतरिए, थोड़ा शरीर खोलिए और पानी पीजिए।",""
"break_time","2","Let us pause here. Water first, then rest a little.","यहाँ थोड़ा रुकते हैं। पहले पानी, फिर थोड़ा आराम।",""
"care_break","0","You have been working hard. Let us take a ten minute break.","आप बहुत मेहनत कर रहे हैं। चलिए दस मिनट का आराम करते हैं।",""
"care_break","1","You have been at it for a while. A ten minute rest will help you stay sharp.","आप काफ़ी देर से लगे हैं। दस मिनट का आराम आपको चुस्त रखेगा।",""
"care_break","2","Time to recharge. Please take ten minutes, the work will wait.","थोड़ा सुस्ता लीजिए। दस मिनट का आराम कीजिए, काम इंतज़ार कर लेगा।",""
"lesson_idle_engine_off","0","Quick tip while we wait: if you will idle for more than five minutes, switch the engine off. It saves fuel.","रुकते हुए एक छोटी सलाह: अगर पाँच मिनट से ज़्यादा रुकना हो, तो इंजन बंद कर दें। ईंधन बचता है।",""
"lesson_idle_engine_off","1","While we wait: an engine idling for five minutes or more is just burning fuel. Switch it off.","इंतज़ार के बीच: पाँच मिनट या ज़्यादा खाली चलता इंजन सिर्फ़ ईंधन जलाता है। इसे बंद कर दीजिए।",""
"lesson_idle_engine_off","2","A tip for this pause: for long stops, turn the engine off. It saves fuel and wear.","इस रुकावट में एक सलाह: लंबे समय रुकना हो तो इंजन बंद कर दें। ईंधन और घिसाई दोनों बचते हैं।",""
"lesson_trench_edge","0","Quick tip: keep the tracks at least one metre back from a trench edge, more when the ground is wet.","छोटी सलाह: खाई के किनारे से पटरियों को कम से कम एक मीटर पीछे रखें, गीली ज़मीन पर और ज़्यादा।",""
"lesson_trench_edge","1","Tip: trench edges can give way. Keep the tracks a metre or more back, further when wet.","सलाह: खाई का किनारा धँस सकता है। पटरियों को एक मीटर या ज़्यादा पीछे रखें, गीली ज़मीन पर और दूर।",""
"lesson_trench_edge","2","Remember: wet soil near a trench is weak. Stay at least one metre from the edge.","याद रखें: खाई के पास गीली मिट्टी कमज़ोर होती है। किनारे से कम से कम एक मीटर दूर रहें।",""
"lesson_three_points","0","Quick tip: keep three points of contact when climbing in or out of the cab.","छोटी सलाह: केबिन में चढ़ते और उतरते समय तीन जगह पकड़ बनाए रखें।",""
"lesson_three_points","1","Tip: two hands and a foot, or two feet and a hand, whenever you climb in or out.","सलाह: चढ़ते-उतरते समय हमेशा दो हाथ और एक पैर, या दो पैर और एक हाथ टिकाए रखें।",""
"lesson_three_points","2","Remember: face the machine and keep three points of contact on the steps.","याद रखें: सीढ़ी पर मशीन की ओर मुँह करके तीन जगह पकड़ बनाए रखें।",""
"lesson_walkaround","0","Quick tip: walk once around the machine before moving. You will see what the seat cannot show you.","छोटी सलाह: चलने से पहले मशीन का एक चक्कर लगाएँ। जो सीट से नहीं दिखता, वह दिख जाएगा।",""
"lesson_walkaround","1","Tip: a quick walk around the machine before moving shows you people and obstacles you cannot see from the seat.","सलाह: चलने से पहले मशीन का एक चक्कर लगाएँ, सीट से न दिखने वाले लोग और रुकावटें दिख जाएँगी।",""
"lesson_walkaround","2","Remember: check all sides of the machine before you start moving.","याद रखें: चलना शुरू करने से पहले मशीन के चारों तरफ़ देख लें।",""
"lesson_smooth_cycles","0","Quick tip: smooth, full bucket cycles use less fuel than many short, jerky ones.","छोटी सलाह: आराम से भरे हुए बाल्टी चक्र, कई छोटे झटकेदार चक्रों से कम ईंधन खाते हैं।",""
"lesson_smooth_cycles","1","Tip: smooth, steady movements fill the bucket better and burn less fuel.","सलाह: आराम और एक लय में चलाने से बाल्टी अच्छी भरती है और ईंधन कम लगता है।",""
"lesson_smooth_cycles","2","Remember: jerky controls waste fuel. Full, smooth cycles do more with less.","याद रखें: झटके से चलाने में ईंधन बर्बाद होता है। पूरे और आराम से चक्र कम में ज़्यादा काम करते हैं।",""
"lesson_hydration","0","Quick tip: in the heat, drink a glass of water every hour, even if you are not thirsty.","छोटी सलाह: गर्मी में हर घंटे एक गिलास पानी पिएँ, प्यास न लगे तब भी।",""
"lesson_hydration","1","Tip: in this heat, sip water every hour, even before you feel thirsty.","सलाह: इस गर्मी में प्यास लगने से पहले ही हर घंटे पानी पीते रहें।",""
"lesson_hydration","2","Remember: heat tires you before you notice. A glass of water every hour keeps you sharp.","याद रखें: गर्मी पता चलने से पहले थका देती है। हर घंटे एक गिलास पानी आपको चुस्त रखेगा।",""
"debrief_over","0","{over_min} minutes over. About {uncontrollable_min} from {factors}, about {controllable_min} from idle gaps.","{over_min} मिनट ज़्यादा लगे। लगभग {uncontrollable_min} मिनट {factors} की वजह से, और लगभग {controllable_min} मिनट रुकावटों से।",""
"debrief_over","1","This task ran {over_min} minutes long: about {uncontrollable_min} because of {factors}, and about {controllable_min} from idle gaps.","यह काम {over_min} मिनट ज़्यादा चला: लगभग {uncontrollable_min} मिनट {factors} के कारण, और लगभग {controllable_min} मिनट रुकावटों से।",""
"debrief_over","2","We went {over_min} minutes over the CAT estimate. Around {uncontrollable_min} of that was {factors}, around {controllable_min} was idle time.","हम CAT के अनुमान से {over_min} मिनट ऊपर गए। इसमें करीब {uncontrollable_min} मिनट {factors} की वजह से थे, और करीब {controllable_min} मिनट खाली समय के।",""
"debrief_on_time","0","Finished on time. Well done.","काम समय पर पूरा हुआ। बहुत बढ़िया।",""
"debrief_on_time","1","Right on time. Good work.","बिलकुल समय पर। अच्छा काम।",""
"debrief_on_time","2","Done within the estimate. Nicely done.","अनुमान के अंदर पूरा हुआ। बढ़िया।",""
"debrief_not_your_fault","0","Most of this was not in your hands.","इसमें ज़्यादातर आपके हाथ में नहीं था।",""
"debrief_not_your_fault","1","Most of the delay was outside your control.","ज़्यादातर देरी आपके बस में नहीं थी।",""
"debrief_not_your_fault","2","Do not worry, most of this came from conditions, not from you.","चिंता मत कीजिए, इसमें ज़्यादातर हालात की वजह से था, आपकी वजह से नहीं।",""
"finding.excessive_idling","0","The machine idled for {minutes} minutes.","मशीन {minutes} मिनट तक खाली चलती रही।",""
"finding.excessive_idling","1","The engine ran idle for {minutes} minutes.","इंजन {minutes} मिनट खाली चलता रहा।",""
"finding.excessive_idling","2","There were {minutes} minutes of idling.","{minutes} मिनट तक मशीन बेकार चलती रही।",""
"finding.fuel_without_work","0","{fuel_l} litres of fuel were burned with little or no work done.","बहुत कम या बिना काम के {fuel_l} लीटर ईंधन खर्च हुआ।",""
"finding.fuel_without_work","1","About {fuel_l} litres of fuel went into idling rather than work.","लगभग {fuel_l} लीटर ईंधन काम की जगह खाली चलने में गया।",""
"finding.fuel_without_work","2","Around {fuel_l} litres of fuel were used with almost nothing to show for it.","लगभग बिना काम के करीब {fuel_l} लीटर ईंधन लग गया।",""
"finding.unbelted_active","0","The seatbelt was off while working for {minutes} minutes.","काम करते समय {minutes} मिनट तक सीट बेल्ट खुली रही।",""
"finding.unbelted_active","1","The machine was working for {minutes} minutes without the seatbelt on.","मशीन {minutes} मिनट बिना सीट बेल्ट के चली।",""
"finding.unbelted_active","2","For {minutes} minutes the belt was off during work. Please keep it on.","{minutes} मिनट काम के दौरान बेल्ट खुली थी। कृपया इसे बाँधे रखें।",""
"finding.repeated_alerts","0","{count} safety alerts within {minutes} minutes.","{minutes} मिनट में {count} सुरक्षा चेतावनियाँ आईं।",""
"finding.repeated_alerts","1","There were {count} safety alerts in {minutes} minutes.","{minutes} मिनट के अंदर {count} सुरक्षा चेतावनियाँ हुईं।",""
"finding.repeated_alerts","2","{count} alerts came within {minutes} minutes. Let us slow down a little.","{minutes} मिनट में {count} चेतावनियाँ आईं। थोड़ा धीरे चलते हैं।",""
"finding.fatigue_drift","0","Your rhythm is slowing down. A short break will help.","आपकी रफ़्तार धीमी हो रही है। थोड़ा आराम मदद करेगा।",""
"finding.fatigue_drift","1","You seem to be slowing down. A short rest would help.","लगता है आप थक रहे हैं। थोड़ा आराम अच्छा रहेगा।",""
"finding.fatigue_drift","2","Your pace has dropped over the last hour. Time for a quick break.","पिछले घंटे में आपकी रफ़्तार कम हुई है। थोड़े आराम का समय है।",""
"cmd_log_incident","0","What happened? Tap a button or tell me.","क्या हुआ? बटन दबाइए या मुझे बताइए।",""
"cmd_log_incident","1","Tell me what happened, or tap one of the buttons.","बताइए क्या हुआ, या कोई बटन दबाइए।",""
"cmd_log_incident","2","Okay, reporting an incident. What was it?","ठीक है, घटना दर्ज करते हैं। क्या हुआ था?",""
"cmd_break","0","Okay, take your break. I will be here.","ठीक है, आराम कीजिए। मैं यहीं हूँ।",""
"cmd_break","1","Enjoy your break. I will keep watch.","आराम कीजिए। मैं ध्यान रखूँगा।",""
"cmd_break","2","Sure, rest well. Call me when you are back.","ज़रूर, अच्छे से आराम कीजिए। लौटकर मुझे बुलाइए।",""
"cmd_quiet_on","0","Quiet mode on. I will speak only for safety.","शांत मोड चालू। अब मैं सिर्फ़ सुरक्षा के लिए बोलूँगा।",""
"cmd_quiet_on","1","Going quiet. Only safety alerts from now on.","अब मैं चुप रहूँगा। सिर्फ़ सुरक्षा चेतावनियाँ दूँगा।",""
"cmd_quiet_on","2","Quiet mode is on. You will still hear safety warnings.","शांत मोड चालू है। सुरक्षा चेतावनियाँ फिर भी सुनाई देंगी।",""
"cmd_quiet_off","0","Quiet mode off.","शांत मोड बंद।",""
"cmd_quiet_off","1","I am back. Quiet mode is off.","मैं वापस हूँ। शांत मोड बंद।",""
"cmd_quiet_off","2","Quiet mode off. I will speak normally again.","शांत मोड बंद। अब मैं फिर से सामान्य रूप से बोलूँगा।",""
